time_steps, fieldsize, threads, Px, Py, predicted memory, actual memory, time
1, 1024, 1, 1, 1, 18444, 18304, 0.23
1, 1024, 1, 1, 1, 18444, 18356, 0.22
1, 1024, 1, 1, 1, 18444, 18320, 0.21
1, 1024, 1, 1, 1, 18444, 18224, 0.20
1, 1024, 1, 1, 1, 18444, 18428, 0.20
1, 1024, 2, 2, 1, 34864, 34724, 0.44
1, 1024, 2, 1, 2, 34864, 34772, 0.51
1, 1024, 2, 1, 2, 34864, 34736, 0.50
1, 1024, 2, 1, 2, 34864, 34668, 0.47
1, 1024, 2, 1, 2, 34864, 34752, 0.46
1, 1024, 4, 4, 1, 67704, 67148, 1.32
1, 1024, 4, 2, 2, 67704, 66940, 1.08
1, 1024, 4, 1, 4, 67704, 67412, 1.18
1, 1024, 4, 1, 4, 67704, 67488, 1.13
1, 1024, 4, 1, 4, 67704, 67420, 1.04
1, 1024, 6, 6, 1, 100544, 99952, 1.99
1, 1024, 6, 3, 2, 100544, 99892, 2.10
1, 1024, 6, 2, 3, 100544, 99760, 2.01
1, 1024, 6, 1, 6, 100544, 100136, 2.02
1, 1024, 6, 1, 6, 100544, 100156, 2.07
1, 1024, 8, 8, 1, 133384, 132128, 2.91
1, 1024, 8, 4, 2, 133384, 132316, 2.81
1, 1024, 8, 1, 8, 133384, 132976, 2.98
1, 1024, 8, 2, 4, 133384, 132172, 2.98
1, 1024, 8, 1, 8, 133384, 132960, 2.91
1, 2048, 1, 1, 1, 34828, 67456, 0.91
1, 2048, 1, 1, 1, 34828, 67492, 0.95
1, 2048, 1, 1, 1, 34828, 67480, 0.87
1, 2048, 1, 1, 1, 34828, 67428, 0.83
1, 2048, 1, 1, 1, 34828, 67460, 0.88
1, 2048, 2, 2, 1, 67632, 132940, 1.88
1, 2048, 2, 1, 2, 67632, 132884, 1.93
1, 2048, 2, 1, 2, 67632, 132940, 2.01
1, 2048, 2, 1, 2, 67632, 132984, 2.04
1, 2048, 2, 1, 2, 67632, 132984, 2.08
1, 2048, 4, 4, 1, 133240, 263848, 4.44
1, 2048, 4, 2, 2, 133240, 263512, 4.88
1, 2048, 4, 1, 4, 133240, 264160, 4.45
1, 2048, 4, 1, 4, 133240, 264104, 4.59
1, 2048, 4, 1, 4, 133240, 264160, 4.54
1, 2048, 6, 6, 1, 198848, 394744, 8.31
1, 2048, 6, 3, 2, 198848, 394444, 8.30
1, 2048, 6, 2, 3, 198848, 395044, 8.40
1, 2048, 6, 1, 6, 198848, 395076, 8.25
1, 2048, 6, 1, 6, 198848, 395132, 8.61
1, 2048, 8, 8, 1, 264456, 525244, 11.85
1, 2048, 8, 4, 2, 264456, 525216, 12.18
1, 2048, 8, 1, 8, 264456, 525984, 11.94
1, 2048, 8, 2, 4, 264456, 525796, 12.21
1, 2048, 8, 1, 8, 264456, 526056, 12.32
1, 4096, 1, 1, 1, 67596, 264212, 3.96
1, 4096, 1, 1, 1, 67596, 264188, 3.57
1, 4096, 1, 1, 1, 67596, 264084, 3.41
1, 4096, 1, 1, 1, 67596, 264216, 3.34
1, 4096, 1, 1, 1, 67596, 264136, 3.31
1, 4096, 2, 2, 1, 133168, 525980, 7.79
1, 4096, 2, 1, 2, 133168, 525980, 7.77
1, 4096, 2, 1, 2, 133168, 526008, 8.05
1, 4096, 2, 1, 2, 133168, 526040, 7.90
1, 4096, 2, 1, 2, 133168, 525992, 8.29
1, 4096, 4, 4, 1, 264312, 1050300, 18.90
1, 4096, 4, 2, 2, 264312, 1050140, 18.97
1, 4096, 4, 1, 4, 264312, 1050056, 19.26
1, 4096, 4, 1, 4, 264312, 1050112, 19.64
1, 4096, 4, 1, 4, 264312, 1050020, 19.77
1, 4096, 6, 6, 1, 395456, 1574144, 36.12
1, 4096, 6, 3, 2, 395456, 1574056, 35.83
1, 4096, 6, 2, 3, 395456, 1574136, 36.82
1, 4096, 6, 1, 6, 395456, 1574160, 36.85
1, 4096, 6, 1, 6, 395456, 1574104, 36.56
1, 4096, 8, 8, 1, 526600, 2098436, 51.09
1, 4096, 8, 4, 2, 526600, 2098364, 50.79
1, 4096, 8, 1, 8, 526600, 2098068, 51.28
1, 4096, 8, 2, 4, 526600, 2098348, 50.96
1, 4096, 8, 1, 8, 526600, 2098080, 51.09
